RowID,Verdict,Confidence,SupplierTitle,AmazonTitle,Supplier EAN,Amazon EAN,ASIN,SupplierPrice,SellingPrice,NetProfit,ROI,Sales,Pack Verdict,Adjusted Profit,Key Match Evidence,Filter Reason,IsUnrelated
58,UNRELATED,15,CEMENT ANIMALS WITH SUCCULENT 4 ASSORTED,"Mould King W16 Engine Building Blocks Set, Combustion Engine Model That Runs, Mini Engine Build Kit for Adults with Battery and Motor, STEM Toy for Children Boys Girl(952 Pcs)",5050565833266,705736241986,B0DBHJ5Q25,1.728,58.99,35.0783333333333,0,100,1:1,35.08,,Insufficient Evidence,True
59,UNRELATED,20,"IMPERIAL SOUP PLATE BLUE 8""","Denby - Imperial Blue Dinner Plates Set of 2 - Dishwasher Microwave Safe Crockery 26.5cm - Blue, White Ceramic Stoneware Tableware - Chip & Crack Resistant Large Plates",8694169938483,nan,B07SG6C3BR,1.308,45.23,27.9879166666666,0,50,1:1,27.99,,Insufficient Evidence,True
60,UNRELATED,15,SOZALI KILPSEAL SQUARE CONTAINERS 2.0/1.2/0.7 LTR,"Square Terminal - Card reader for accepting Contactless, Chip & PIN, Debit Cards, and Credit Cards - Take payments, print receipts, and run your business - UK Version",5055706650139,nan,B07XWSM8XY,4.776,117.89,76.5654166666666,0,100,1:1,76.57,,Insufficient Evidence,True
61,UNRELATED,15,PALOMA 2PLY IVORY 50 NAPKINS 40X40CM,"UGEARS Sky Watcher Tourbillon Table Clock - 3D Wooden Puzzles For Adults, Wooden Model Kits for Adults to Build - Astronomical Mechanical DIY 3D Puzzle Clock, 3D Puzzles Adult",3838952023870,4820184121324,B09LGTWHKF,1.872,60.15,35.635,0,100,1:1,35.63,,Insufficient Evidence,True
62,UNRELATED,15,MULTI MIXER 22CM ASSORTED,"Progress EK5234PTEAL Go Bake Stand Mixer- Large Electric Whisk with 4L Stainless Steel Bowl, 8 Speeds and Pulse Function, Mixing Beater, Dough Hook, and Whisk Attachments, Splash Guard, 1300W, Teal",5414886342003,5054061498677,B0BKL45BG4,1.644,60.92,32.2366666666666,0,100,1:1,32.24,,Insufficient Evidence,True
63,UNRELATED,15,EUROWRAP TISSUE PAPER 6SHTS LIGHT BLUE,"Toddler Toys for 2 3 4 5 6 Years Old Boys, Die-Cast Transport Truck Car Toys 61-Inch Race Track for Boys Kids, Toddler Car Toys Set for Kids Boys Girls",5033601868323,nan,B0C3LYMSZ5,0.468,26.99,15.7679166666666,0,100,1:1,15.77,,Insufficient Evidence,True
64,UNRELATED,15,SIL CRAFT STICKERS UNICORN,"BEZGAR TB141 Remote Control Cars - 1:14 Scale RC Car, 2WD 20KM/H All-Terrains Toy Off Road Vehicle Monster Truck with Two Rechargeable Batteries for Boys Kids Adults and Girls, Red",5024418052029,nan,B07WZRM6WK,1.008,42.99,23.115,0,200,1:1,23.11,,Low Text Similarity,True
65,UNRELATED,15,BIRDBRAND S/WASH R/T/USE EACH 5LT,"2K Bird Feeder with Camera, Solar Powered, AI Identify 10,000+ Birds, 1.8L Capacity, IP65 Waterproof, 2.4GHz/5GHz, Bird Box Camera with Full Color Night Vision, Present for Bird Lover",5016679520003,nan,B0DTKDYJ8J,4.02,99.99,64.51625,0,400,1:1,64.52,,Insufficient Evidence,True
66,UNRELATED,15,PALOMA CHRISTMAS NAPKINS 3 PLY 20 PACK ASSORTED DESIGNS,"Laplink PCmover Professional 11 - Migration of your Applications, Files and Settings from an Old PC to a New PC - Data Transfer Software - Optional High Speed Ethernet Cable - 1 License",3838952032452,48296309469,B07CT3TVNT,1.14,41.95,24.3983333333333,0,100,1:1,24.4,,Insufficient Evidence,True
67,UNRELATED,15,FIRST STEPS  FOOD STORAGE POTS WITH SPOON 4PC ASSORTED,"BEZGAR TB141 Remote Control Cars - 1:14 Scale RC Car, 2WD 20KM/H All-Terrains Toy Off Road Vehicle Monster Truck with Two Rechargeable Batteries for Boys Kids Adults and Girls, Red",5015302109141,nan,B07WZRM6WK,0.936,39.99,21.265,0,50,1:1,21.27,,Insufficient Evidence,True
68,UNRELATED,15,BETTINA BATH 4 SPONGES ROUNDED,OLEVS Men Watch Leather Strap Classic Dress Large Face Analog Quartz Date Luminous Waterproof Gents Wrist Watch,5052578011211,nan,B07YWB6QGR,1.08,38.77,22.9683333333333,0,50,1:1,22.97,,Insufficient Evidence,True
