,SupplierTitle,AmazonTitle,EAN,EAN_OnPage,NetProfit,ROI %,bought_in_past_month
48,OPAL SQUARE SOUP PLATE WHITE,"George Foreman Immersa Medium Electric Grill [Removable Control Panel allows grill machine to be fully washable & dishwasher safe, Energy saving, Healthy, Toastie, Panini, Hot plate, BBQ] Black 28310",6260573000843,5038061143195.0,27.0999999999999,1935.71428571428,400
70,SHOWER CURTAIN PRINTED,Mostop RC Bulldozer Toy 1/16 Scale 9 Channel RC Front Loader Tractor Fully Functional 2.4Ghz Remote Control Bulldozer RC Construction Vehicles Truck Toy Gift with Light and Sound for Kids 8+,5056239428110,,26.9383333333333,1513.38951310861,50
573,MOP HEAD PLASTIC OPTIMA NO14 PK10,"Hamilton Beach Pro Smart Waffle Maker, Non-Stick, 7 Browning Levels, 5 Programmes, Family Size, Digital Display, Overflow Protection - HB5403T, Silver",5011251280368,5060916370364.0,26.9116666666666,306.511009870918,200
171,SUNNEX STAINLESS STEEL TABLE FORKS PK12 05/11,"Electric Train Sets for Boys Girls Metal Alloy Christmas Toys Steam Locomotive, Passenger Carriages, Tracks, Light & Sounds Rechargeable Birthday Gifts for Kids 3 4 5 6 7 8 + Years Old Greenâ€¦",4891342311024,,26.3583333333333,782.146389713155,200
34,PLATE 10.5 INCH ASSORTED,EVER ADVANCED Luxury Camping Chairs for Adults Heavy Duty Loadable 150kg High Back Oversized Folding Garden Chair Padded 6cm Comfy with Cup Holder Side Pocket Dining Chairs 4-Position Recliner,6923456812901,198715902921.0,26.1283333333333,2353.9039039039,50
74,CHARGER PLATE SILVER REDBUD 33CM,OLEVS Mens Watches Designer Calendar Dress Metal Stainless Steel Quartz Analog Waterproof Luminous Wrist Watch Gent Large,5018705345147,,26.1054166666666,1466.59644194756,100
181,JUNIOR ART EASEL,"Dripex Kids Easel, Children's Wooden Art Easel Foldable, Double-Sided Magnetic Blackboard & Whiteboard for Kids and Toddlers, Chalkboard with Painting Art Supplies",5015934769133,,25.9579166666666,741.654761904761,100
45,BETTINA SPONGE CELLULOSE 3 SCOURER,OLEVS Mens Watches Designer Calendar Dress Metal Stainless Steel Quartz Analog Waterproof Luminous Wrist Watch Gent Large,5052578022309,,25.1916666666666,1999.33862433862,100
40,BRIGHT & HOMELY STAINLESS STEEL SCOURER 4 PIECES,"Pristar Remote Control Car Hand Gesture Controlled Car, 1:14 RC Stunt Auto 360Â° Rotation 3 Control Methods 2.4 GHz Drift Glove Controlled Cars Gift Toy for Kids Boy Girls Age 5 6 7 8 9 10 11 12",5050796011778,,24.965,2133.76068376068,400
33,CHRISTMAS VELVET COLOURING SET 2PC,"KableRika LED Desk Lamp for Office, Double Head Desk Lamp with Base, Dimmable Architect Desk Light, Eye Caring Monitor Light Bar with Timer, Task Lamp for Work Study Read Home Office Lighting",5056170355988,,24.86625,2368.21428571428,200
