,EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierPrice_incVAT,SellingPrice_incVAT,NetProfit,ROI %,bought_in_past_month
32,5056170340700,5060598911466.0,B09MZDW551,CHRISTMAS TAG BAUBLE WOODEN MINI 4PK,Belaco Oil Filled Radiators 11 Fins Portable Electric Heater Adjustable Thermostat Control 3 Heat Settings Portable Heater Overheat Protection 2500W Energy Efficient Heavy-Duty Castor,0.744,52.86,28.39,2426.49572649572,200
72,5019200246458,,B0DK1CSSN1,RODO WIRE BRUSH WITH SCRAPER 4 ROW,Work Boots Mens Womens Comfortable Steel Toe Cap Boots Lightweight Work Shoes Protective Puncture Proof Safety Footwear Industrial Safety Trainers with Swivel Buckle Shoelaces,1.596,48.99,28.105,1494.94680851063,100
58,8694169938483,,B07SG6C3BR,"IMPERIAL SOUP PLATE BLUE 8""","Denby - Imperial Blue Dinner Plates Set of 2 - Dishwasher Microwave Safe Crockery 26.5cm - Blue, White Ceramic Stoneware Tableware - Chip & Crack Resistant Large Plates",1.308,45.23,27.9879166666666,1706.58028455284,50
92,5026180016858,,B0BBGQ2GLZ,APOLLO WOODEN UTENSIL SET ASSTD,"Wooden Utensil Set - 10 Pcs Teak Wooden Spoon Kitchen Utensils Set for Nonstick Pans & Cookware. Non-Scratch, Heat Resistant, Comfortable Grip. Includes Cooking Spatula",2.004,45.99,27.94625,1258.84009009009,400
31,8711252476247,,B0FHK2CM5W,DUNLOP BIKE BRAKE CABLE INNER CABLE,"Peradix Wooden Chess Set, 19"" Large Foldable Chess Board Game with 3.75"" King & 2 Extra Queens, Professional Classic Chess Set for Adults and Kids",0.708,49.99,27.8683333333333,2444.59064327485,100
104,5019311965149,5060345836325.0,B01FJLXFIS,ROCKINGHAM FORGE SCISSORS 8INCH RED  (SP12),"Xpert - Defiant S3 Safety Dealer Boots. Pull On Chelsea Steel Toe Cap Shoes, Comfortable And Water Resistant Work Boots For Men With Midsole Design For Safety and Ankle Support",2.172,48.99,27.385,1160.3813559322,100
37,5050565512352,,B0D62LX8W5,LOVE SCENTED WAX MELTS,OLEVS Watches for Men Stainless Steel Analog Quartz Waterproof Luminous Luxury Dress Date Diamond Business Casual Mens Wrist Watchï¼ˆGold/Blue/Black/White Dialï¼‰,0.804,45.77,27.2816666666666,2236.20218579234,100
48,6260573000843,5038061143195.0,B0BGK57HPC,OPAL SQUARE SOUP PLATE WHITE,"George Foreman Immersa Medium Electric Grill [Removable Control Panel allows grill machine to be fully washable & dishwasher safe, Energy saving, Healthy, Toastie, Panini, Hot plate, BBQ] Black 28310",1.02,49.5,27.0999999999999,1935.71428571428,400
70,5056239428110,,B09CFWG6BV,SHOWER CURTAIN PRINTED,Mostop RC Bulldozer Toy 1/16 Scale 9 Channel RC Front Loader Tractor Fully Functional 2.4Ghz Remote Control Bulldozer RC Construction Vehicles Truck Toy Gift with Light and Sound for Kids 8+,1.476,49.99,26.9383333333333,1513.38951310861,50
573,5011251280368,5060916370364.0,B0CLH8FTC9,MOP HEAD PLASTIC OPTIMA NO14 PK10,"Hamilton Beach Pro Smart Waffle Maker, Non-Stick, 7 Browning Levels, 5 Programmes, Family Size, Digital Display, Overflow Protection - HB5403T, Silver",9.876,59.99,26.9116666666666,306.511009870918,200
