RowID,SupplierTitle,AmazonTitle,EAN,EAN_OnPage,ASIN,NetProfit,Adjusted_Profit,ROI,sales,title_match,is_exact_ean_strict,Brand_Match,RSU,Pack_Verdict,Category,SubCategory,Filter_Reason
50,DISHWASH BRUSH 3 ASSORTED COLOUR,OLEVS Mens Wrist Watches Ultra Thin 6.5mm Minimalist Business Dress Waterproof & Date & Leather Strap Slim Watches for Men,8721037140904,723990880789,B07VHG2VGZ,23.1583333333333,23.1583333333333,0.183796296296296,50,0.19480519480519481,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
51,PAINT FACTORY COLOUR IT SPRAY FLAT MATT WHITE 250ML,"Remote Control Car Building Set, 1:14 Technical Sports Racing Car Building Kit, with Motors and Rechargeable Battery, Toys Gift for Adults & Boys Age 12+ (1314 PCS)",5055319528559,nan,B0CNRQBMP8,32.335,32.335,0.181657303370786,200,0.13023255813953488,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
52,MINKY FLAT MOP,"Oversize Turbo Dryer Blower,Car Accessories,Max Instantaneous Thrust 1.60KG,4 Speeds,64MM Super Big Electric Cordless Air Blower for Leaf,Patio Cleaning,Lawn Care & Car Drying (Shining Black)",5010353324291,717710483480,B0FGHZB8FM,80.24,80.24,0.17950782997762801,50,0.08780487804878048,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
53,CEMENT ANIMALS WITH SUCCULENT 4 ASSORTED,"Mould King W16 Engine Building Blocks Set, Combustion Engine Model That Runs, Mini Engine Build Kit for Adults with Battery and Motor, STEM Toy for Children Boys Girl(952 Pcs)",5050565833266,705736241986,B0DBHJ5Q25,35.0783333333333,35.0783333333333,0.17627303182579498,100,0.22325581395348837,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
54,GLEAMAX DUSTPAN & BRUSH SILVER,"Wireless Gaming Headset for PS5, PS4, PC, Switch, Mac, 2.4 GHz Wireless & 5.4 Bluetooth Gaming Headphones with Mic ENC Noise Cancelling, 50mm Drivers, 3D Stereo Sound, 50H Battery, Foldable",5030481680045,nan,B0FRFRH3SG,20.49625,20.49625,0.17518162393162298,100,0.2009132420091324,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
55,"IMPERIAL SOUP PLATE BLUE 8""","Denby - Imperial Blue Dinner Plates Set of 2 - Dishwasher Microwave Safe Crockery 26.5cm - Blue, White Ceramic Stoneware Tableware - Chip & Crack Resistant Large Plates",8694169938483,nan,B07SG6C3BR,27.9879166666666,26.6799166666666,0.17065802845528402,50,0.22564102564102564,False,,2.0,BUNDLE (2x) - OK,EXCLUDED,WEAK,Weak evidence
56,SOZALI KILPSEAL SQUARE CONTAINERS 2.0/1.2/0.7 LTR,"Square Terminal - Card reader for accepting Contactless, Chip & PIN, Debit Cards, and Credit Cards - Take payments, print receipts, and run your business - UK Version",5055706650139,nan,B07XWSM8XY,76.5654166666666,76.5654166666666,0.16901857983811602,100,0.15813953488372093,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
57,PALOMA 2PLY IVORY 50 NAPKINS 40X40CM,"UGEARS Sky Watcher Tourbillon Table Clock - 3D Wooden Puzzles For Adults, Wooden Model Kits for Adults to Build - Astronomical Mechanical DIY 3D Puzzle Clock, 3D Puzzles Adult",3838952023870,4820184121324,B09LGTWHKF,35.635,35.635,0.16888625592417,100,0.13270142180094788,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
58,MULTI MIXER 22CM ASSORTED,"Progress EK5234PTEAL Go Bake Stand Mixer- Large Electric Whisk with 4L Stainless Steel Bowl, 8 Speeds and Pulse Function, Mixing Beater, Dough Hook, and Whisk Attachments, Splash Guard, 1300W, Teal",5414886342003,5054061498677,B0BKL45BG4,32.2366666666666,32.2366666666666,0.167899305555555,100,0.15315315315315314,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
59,APAC RIBBON 2INCH 100 YARDS BABY PINK,"UGEARS V8 Engine 3D Wooden Puzzles for Adults - Wooden Model Kits for Adults to Build DIY Craft, for Engineers, 3D Puzzle Model Engine Kit, 3D Puzzles Adult Hobby Kit, Brain Teaser",8001565224988,nan,B0D9W1S3Y5,50.53125,50.53125,0.16787790697674398,300,0.17511520737327188,False,,1.0,1:1 Match,EXCLUDED,WEAK,Weak evidence
